Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep) 
 01/04  04:00:00,7.3,21.000000000000004,2485215.26246453,0.0 
 01/04  05:00:00,7.5,21.0,2820231.811770464,0.0 
 01/04  06:00:00,8.2,20.999999999999993,3154727.924274927,0.0 
 01/04  07:00:00,8.2,21.000000000000004,3483172.2755046804,0.0 
 01/04  08:00:00,8.3,20.999999999999996,3794344.746634245,0.0 
 01/04  09:00:00,8.4,21.0,3466834.097762726,0.0 
 01/04  10:00:00,10.0,21.0,3419760.387550596,0.0 
 01/04  11:00:00,14.9,21.0,3237242.435743668,0.0 
 01/04  12:00:00,16.1,21.000000000000004,2993598.95540775,0.0 
 01/04  13:00:00,16.2,21.000000000000004,2672948.3036061646,0.0 
 01/04  14:00:00,17.9,21.0,2261270.3913538484,0.0 
 01/04  15:00:00,18.0,21.0,1803869.6421863064,0.0 
 01/04  16:00:00,16.5,20.999999999999996,1364820.9471694191,0.0 
 01/04  17:00:00,16.4,21.0,1011578.5276761735,0.0 
 01/04  18:00:00,14.1,20.999999999999996,913319.4317678509,0.0 
 01/04  19:00:00,15.1,20.999999999999993,1058099.297729002,0.0 
 01/04  20:00:00,14.0,20.999999999999996,1029966.2000792401,0.0 
 01/04  21:00:00,12.9,20.999999999999996,1078841.837922925,0.0 
 01/04  22:00:00,11.8,21.0,1186210.4105751931,0.0 
 01/04  23:00:00,9.8,20.999999999999996,1492890.8612531333,0.0 
 01/04  24:00:00,10.0,21.0,1693568.588503504,0.0 
 01/05  01:00:00,10.3,21.0,1897144.1518674106,0.0 
 01/05  02:00:00,9.8,21.0,2156253.314033555,0.0 
 01/05  03:00:00,10.2,20.999999999999996,2420823.137761477,0.0 
 01/05  04:00:00,8.9,20.999999999999996,2697587.0487321187,0.0 
 01/05  05:00:00,9.1,21.0,2960360.54998835,0.0 
 01/05  06:00:00,9.8,21.000000000000004,3217023.030083015,0.0 
 01/05  07:00:00,9.7,21.000000000000004,3465085.6271442953,0.0 
 01/05  08:00:00,10.1,20.999999999999996,3696114.7430926305,0.0 
 01/05  09:00:00,10.9,21.000000000000004,3409798.0329685523,0.0 
 01/05  10:00:00,11.1,21.0,3399209.0922426023,0.0 
 01/05  11:00:00,14.6,21.0,3220084.473749921,0.0 
 01/05  12:00:00,15.6,20.999999999999996,3007157.870602415,0.0 
 01/05  13:00:00,15.9,21.0,2680189.281224382,0.0 
 01/05  14:00:00,17.8,21.0,2216579.07619962,0.0 
 01/05  15:00:00,18.4,20.999999999999996,1777619.3967375222,0.0 
