Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Total Internal Total Heating Energy [J](TimeStep),ROOM1:Space Total Internal Convective Heating Rate [W](Hourly),ROOM1:Zone People Total Heating Energy [J](Hourly),ROOM1:Zone People Total Heating Rate [W](Hourly),ROOM1:Zone Lights Total Heating Energy [J](Hourly),ROOM1:Zone Lights Total Heating Rate [W](Hourly),ROOM1:Zone Windows Total Heat Gain Rate [W](Hourly),ROOM1:Zone Windows Total Heat Loss Rate [W](Hourly),ROOM1:Zone Windows Total Heat Gain Energy [J](Hourly),ROOM1:Zone Windows Total Heat Loss Energy [J](Hourly),WALL_NORTH:Surface Inside Face Temperature [C](Hourly),WALL_NORTH:Surface Outside Face Temperature [C](Hourly),WALL_SOUTH:Surface Inside Face Temperature [C](Hourly),WALL_SOUTH:Surface Outside Face Temperature [C](Hourly),WALL_EAST:Surface Inside Face Temperature [C](Hourly),WALL_EAST:Surface Outside Face Temperature [C](Hourly),WALL_WEST:Surface Inside Face Temperature [C](Hourly),WALL_WEST:Surface Outside Face Temperature [C](Hourly),FLOOR:Surface Inside Face Temperature [C](Hourly),FLOOR:Surface Outside Face Temperature [C](Hourly),ROOF:Surface Inside Face Temperature [C](Hourly),ROOF:Surface Outside Face Temperature [C](Hourly),MYBINDO:Surface Inside Face Temperature [C](Hourly),MYBINDO:Surface Outside Face Temperature [C](Hourly),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Exfiltration Heat Transfer Rate [W](TimeStep),ROOM1:Zone Exhaust Air Heat Transfer Rate [W](TimeStep),Environment:Site Total Zone Exfiltration Heat Loss [J](Hourly),Environment:Site Total Zone Exhaust Air Heat Loss [J](Hourly),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep),ROOM1:Zone Air System Sensible Heating Rate [W](Hourly),ROOM1:Zone Air System Sensible Cooling Rate [W](Hourly) 
 01/01  01:00:00,8.1,79200.0,15.78605812354859,43200.0,12.0,36000.0,10.0,0.0,67.8920779055577,0.0,244411.4804600077,19.436707085264445,10.541271726970072,20.045380565907703,14.200791863448512,19.533529865385773,11.231271082177754,19.594474001176074,11.535353143042556,19.320746435345004,11.735654731467486,19.642118888441686,7.770125819345888,14.858347345858078,9.342436700321286,21.000000020328475,0.0,0.0,0.0,0.0,756767.7421819551,0.0,210.21326171720975,0.0 
 01/01  02:00:00,6.9,79200.0,15.786058275872872,43200.0,12.0,36000.0,10.0,0.0,71.85996672364378,0.0,258695.8802051176,19.342092334791626,9.822579737896111,19.923988203180564,13.243105690547095,19.434657810946188,10.470444743386457,19.491499636997965,10.723726083897239,19.21756544992892,11.135396585690257,19.526500744685844,6.809519655088125,14.4706308720057,8.646378533278948,21.000000000804576,0.0,0.0,0.0,0.0,847348.495993648,0.0,235.37458222045777,0.0 
 01/01  03:00:00,6.8,79200.0,15.786058281411744,43200.0,12.0,36000.0,10.0,0.0,72.05813499677284,0.0,259409.2859883822,19.266951245130265,9.438222538275173,19.820896866713202,12.676774924511863,19.355134701947176,10.05188874135123,19.408428780055416,10.27766177388041,19.137507684591498,10.836694149391334,19.43016871973281,6.0924337589781565,14.383200243255942,8.521138202183124,21.00000000003371,0.0,0.0,0.0,0.0,916535.4873780623,0.0,254.59319093835066,0.0 
 01/01  04:00:00,5.7,79200.0,15.786058281630435,43200.0,12.0,36000.0,10.0,0.0,75.90778984912887,0.0,273268.04345686396,19.193494611667674,8.86646842172982,19.721921973486143,11.950687508424696,19.277306770683026,9.449581390097732,19.327267065139118,9.65354817000017,19.060500067311054,10.310122128996811,19.335065136683763,5.337173358784337,14.047490045293443,7.890859716360865,21.000000000001492,0.0,0.0,0.0,0.0,986348.376714503,0.0,273.98566019847306,0.0 
 01/01  05:00:00,5.9,79200.0,15.786058281639576,43200.0,12.0,36000.0,10.0,0.0,74.60082246235056,0.0,268562.960864462,19.123731031892646,8.642074881739344,19.62545321036822,11.612463627108864,19.203277726782865,9.200794922810514,19.25001297618571,9.398720193102378,18.988299672528512,10.119622014555372,19.244113174259244,4.771089955626031,14.082947109713018,7.983669745761688,21.00000000000007,0.0,0.0,0.0,0.0,1048137.8206809622,0.0,291.1493946336006,0.0 
 01/01  06:00:00,6.7,79200.0,15.78605828163998,43200.0,12.0,36000.0,10.0,0.0,71.65533885164292,0.0,257959.21986591452,19.05567314067544,8.642044683093953,19.53058132508956,11.521758425670294,19.131115354703205,9.12781938464584,19.174739588296173,9.436516948008034,18.918348568206657,10.163659779211551,19.155540078185226,4.315185476216856,14.241920915584842,8.37617577534445,21.0,0.0,0.0,0.0,0.0,1106945.6177372532,0.0,307.48489381590366,0.0 
 01/01  07:00:00,6.5,79200.0,15.786058281639999,43200.0,12.0,36000.0,10.0,0.0,72.52732266207873,0.0,261098.36158348343,18.983192838196135,8.44271136801079,19.43427616136598,11.20690936903069,19.054701266439793,8.897546719055722,19.095388385593775,9.21279221875137,18.843417539285372,10.006683886856353,19.06304222254732,3.8219151307391375,14.12865239286998,8.226878000563602,21.000000000000004,0.0,0.0,0.0,0.0,1173385.7595475982,0.0,325.9404887632217,0.0 
 01/01  08:00:00,5.8,79200.0,15.786058281639999,43200.0,12.0,36000.0,10.0,0.0,73.65784438669321,0.0,265168.23979209556,18.90880006289335,8.13925746293685,19.338000968439637,10.744686212179616,18.97651659440302,8.550296316485731,19.01457944737692,8.87471897479159,18.765972990355337,9.693858518045989,18.969192216362888,3.6280254548394684,13.992298183087712,8.01163488879098,21.0,0.0,0.0,0.0,0.0,1242852.6770368116,0.0,345.2368547324477,0.0 
 01/01  09:00:00,7.2,727200.0,102.57693250624,691200.0,192.0,36000.0,10.0,499.191386679738,0.0,1797088.9920470568,0.0,19.730650732226643,9.297066742221554,20.056879246630178,12.697189723079324,19.795881026927077,9.66924746826537,19.83240013221605,14.451584256887193,20.35473701271479,9.932600559060983,19.777667798949203,9.224566656718645,19.773128901152518,14.496121607100122,21.0,0.0,0.0,0.0,0.0,306041.9253021704,0.0,85.01164591726955,0.0 
 01/01  10:00:00,10.4,727200.0,102.57693250624,691200.0,192.0,36000.0,10.0,843.2728494545232,0.0,3035782.258036284,0.0,20.735216670896563,10.979970807436546,20.986569213044245,19.984248182602457,20.79987252234229,11.408970989490996,20.837324119258337,20.343201626319917,22.127231650076574,10.748011578534745,20.761151165903616,16.48425349777403,23.448545124777297,18.337620482652255,21.606910570302887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,14.5,813600.0,110.22375806371126,777600.0,216.0,36000.0,10.0,1055.8369820783773,0.0,3801013.1354821585,0.0,21.915548419157293,13.190556658289534,22.09869309433968,29.467502227246836,21.97870152204173,13.585149930355314,22.022859409600496,22.858558521737947,23.706517722049192,12.191525393155102,21.93253915077091,23.320168788182542,26.53791910093156,22.144835222152892,22.939290801007132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
